==504533== NVPROF is profiling process 504533, command: ./fixedKCoreComputation 1000000 4999985 testGraph_1000000_4999985.txt 10
==504533== Profiling application: ./fixedKCoreComputation 1000000 4999985 testGraph_1000000_4999985.txt 10
==504533== Profiling result:
   Start  Duration  Name
356.87ms  7.2430us  cudaMemcpyToSymbol
356.88ms  5.9100us  cudaMemcpyToSymbol
356.89ms  5.5510us  cudaMemcpyToSymbol
356.89ms  33.578us  cudaLaunchKernel (initFrontier(int*, int*, int*, int*, int*, int*) [231])
356.93ms  36.678us  cudaDeviceSynchronize
356.97ms  19.088us  cudaMemcpyFromSymbol
356.99ms  9.9000us  cudaLaunchKernel (fixedKcoreComputation(int*, int*, int*, int*, int*, int*) [234])
357.00ms  37.693us  cudaMemcpyToSymbol
357.03ms  8.5630us  cudaLaunchKernel (updateFrontier(int*, int*, int*) [236])
357.04ms  16.072us  cudaDeviceSynchronize
357.06ms  13.155us  cudaMemcpyFromSymbol
357.07ms  1.9360us  cudaDeviceSynchronize
357.08ms  1.8238ms  cudaMemcpy
358.90ms  4.5000us  cudaDeviceSynchronize
